csv_date,hour,sky_condition
02/17/2013,01,3
02/17/2013,02,3
02/17/2013,03,4
02/17/2013,04,3
02/17/2013,05,4
02/17/2013,06,3
02/17/2013,07,3
02/17/2013,08,3
02/17/2013,09,3
02/17/2013,10,3
02/17/2013,11,4
02/17/2013,12,4
02/17/2013,13,4
02/17/2013,14,3
02/17/2013,15,3
02/17/2013,16,4
02/17/2013,17,4
02/17/2013,18,3
02/17/2013,19,1
02/17/2013,20,3
02/17/2013,21,3
02/17/2013,22,3
02/17/2013,23,4
02/18/2013,00,4
02/18/2013,01,4
02/18/2013,02,3
02/18/2013,03,4
02/18/2013,04,4
02/18/2013,05,3
02/18/2013,06,3
02/18/2013,07,3
02/18/2013,08,3
02/18/2013,09,4
02/18/2013,10,4
02/18/2013,11,4
02/18/2013,12,4
02/18/2013,13,3
02/18/2013,14,3
02/18/2013,15,4
02/18/2013,16,4
02/18/2013,17,4
02/18/2013,18,4
02/18/2013,19,4
02/18/2013,20,4
02/18/2013,21,4
02/18/2013,22,4
02/18/2013,23,4
02/19/2013,00,4
02/19/2013,01,4
02/19/2013,02,4
02/19/2013,03,4
02/19/2013,04,4
02/19/2013,05,4
02/19/2013,06,3
02/19/2013,07,3
02/19/2013,08,1
02/19/2013,09,1
02/19/2013,10,1
02/19/2013,11,1
02/19/2013,12,1
02/19/2013,13,1
02/19/2013,14,1
02/19/2013,15,1
02/19/2013,16,1
02/19/2013,17,1
02/19/2013,18,2
02/19/2013,19,2
02/19/2013,20,1
02/19/2013,21,3
02/19/2013,22,1
02/19/2013,23,2
02/20/2013,00,0
02/20/2013,01,0
02/20/2013,02,3
02/20/2013,03,4
02/20/2013,04,4
02/20/2013,05,4
02/20/2013,06,4
02/20/2013,07,4
02/20/2013,08,4
02/20/2013,09,4
02/20/2013,10,4
02/20/2013,11,4
02/20/2013,12,4
02/20/2013,13,4
02/20/2013,14,4
02/20/2013,15,4
02/20/2013,16,4
02/20/2013,17,4
02/20/2013,18,4
02/20/2013,19,4
02/20/2013,20,3
02/20/2013,21,3
02/20/2013,22,4
02/20/2013,23,4
02/21/2013,00,4
02/21/2013,01,4
02/21/2013,02,4
02/21/2013,03,4
02/21/2013,04,4
02/21/2013,05,3
02/21/2013,06,4
02/21/2013,07,4
02/21/2013,08,4
02/21/2013,09,4
02/21/2013,10,4
02/21/2013,11,4
02/21/2013,12,4
02/21/2013,13,4
02/21/2013,14,4
02/21/2013,15,4
02/21/2013,16,4
02/21/2013,17,4
02/21/2013,18,4
02/21/2013,19,4
02/21/2013,20,4
02/21/2013,21,4
02/21/2013,22,1
02/21/2013,23,4
02/22/2013,00,4
02/22/2013,01,4
02/22/2013,02,4
02/22/2013,03,4
02/22/2013,04,4
02/22/2013,05,4
02/22/2013,06,4
02/22/2013,07,4
02/22/2013,08,4
02/22/2013,09,4
02/22/2013,10,4
02/22/2013,11,4
02/22/2013,12,4
02/22/2013,13,4
02/22/2013,14,4
02/22/2013,15,4
02/22/2013,16,3
